Fuel Type,Region,Percentage
Oil,NSW,46.6
Coal,NSW,35.1
Gas,NSW,8.3
Renewables,NSW,10
Oil,VIC,41.9
Coal,VIC,32.6
Gas,VIC,16.6
Renewables,VIC,8.8
Oil,QLD,37.5
Coal,QLD,32.2
Gas,QLD,19.1
Renewables,QLD,11.2
Oil,WA,35.4
Coal,WA,7.7
Gas,WA,53.5
Renewables,WA,3.4
Oil,SA,51.1
Coal,SA,6.3
Gas,SA,24.9
Renewables,SA,17.7
Oil,TAS,41.6
Coal,TAS,7.4
Gas,TAS,8.7
Renewables,TAS,42.3
Oil,NT,29.1
Gas,NT,69.6
Renewables,NT,1.4
